id,date,text
biden_6_165,2024-01-01 00:00:00,"An important part of our economic plan is promoting fair competition across the entire economy. 

You’ve heard me say it before: Capitalism without competition isn’t capitalism, it’s exploitation."
biden_6_166,2024-01-01 00:00:00,"I will deliver my State of the Union address on Tuesday, February 7 at 9pm ET. 

From record job creation to cutting health care costs to boosting manufacturing, our second year was filled with historic progress"
biden_6_167,2024-01-01 00:00:00,"In December, we passed the Pregnant Workers Fairness Act. 

It filled an important gap in federal protections that require employees to make reasonable accommodations for pregnant women and new moms."
biden_6_168,2024-01-01 00:00:00,"As of this month, we've created 12 million new jobs. The strongest two years of growth in history by a longshot with 3.4% unemployment. 

The last time unemployment was this low was in 1969. https://t.co/Cbf98Gue4J"
biden_6_169,2024-01-01 00:00:00,"Some airlines charge extra to pick your seat, including for parents who want to sit next to their child on a plane. 

Congress should pass the Junk Fee Protection Act so we can crack down on these fees and give hard-working Americans just a little bit more breathing room."
biden_6_170,2024-01-01 00:00:00,I remain committed to bringing us in line with every other major economy in the world by passing a national program of paid and medical leave. https://t.co/AMxeFVs1XN
biden_6_171,2024-01-01 00:00:00,"In the 2022 midterms, Democrats had a historic performance. 

We added Democratic governors, kept the U.S. Senate and control of state legislative chambers, and ranked closer than anyone thought possible in the House."
biden_6_172,2024-01-01 00:00:00,"Tune in as I join @KamalaHarris to speak with Democrats, discussing the progress we’ve made under our leadership"
biden_6_173,2024-01-01 00:00:00,"By the end of this year, over 20,000 projects will be underway across America with funding from the infrastructure law that I signed. https://t.co/fBDsfgqlC2"
biden_6_174,2024-01-01 00:00:00,"It’s time for Congress to pass the Junk Fee Prevention Act.

No one should have to pay extra to sit next to their child on the plane, pay a surprise “resort fee” for a hotel stay, pay more to terminate their cable plan, or pay huge service fees to buy concert tickets."
biden_6_175,2024-01-01 00:00:00,"The state of our economy is strong.

We learned today that the economy created 517,000 jobs last month"
biden_6_176,2024-01-01 00:00:00,We’re making things here in America again. And it’s about time we’re doing it.
biden_6_177,2024-01-01 00:00:00,"Thanks to help from the Bipartisan Infrastructure Law, the first piece of the new Hudson Tunnel is being built. 

This is just the beginning of constructing a 21st-century rail system that’s long overdue."
biden_6_178,2024-01-01 00:00:00,"Investing in our infrastructure is about creating tens of thousands of new jobs everyone can access, whether you have a college degree or not."
biden_6_179,2024-01-01 00:00:00,"Black History Month is a powerful reminder that Black history is American history, Black culture is American culture, and Black stories are the ongoing story of America. https://t.co/LijF6uWCCf"
biden_7_180,2024-01-01 00:00:00,"RT @POTUS: During Black History Month, we celebrate the legacy of Black Americans whose power to lead, overcome, and expand democracy has h…"
biden_7_181,2024-01-01 00:00:00,The infrastructure law I signed is the single most significant investment in American rail since Amtrak was created 50 years ago.
biden_7_182,2024-01-01 00:00:00,"We’re working to make sure that every community, urban and rural, has access to affordable high-speed internet."
biden_7_183,2024-01-01 00:00:00,"We’ve come too far to let MAGA Republicans cut Social Security, cut taxes for billionaires, or impose a 30% national sales tax.

If any of these bills somehow pass, I will veto them."
